Station_name,Station_shortname,USGS_ID,Lat,Lon,GaugeHeight,Disch,Disch_tdflt,Level,SpecCond,Salinity,Temperature,Turbidity,pH,DO,fDOM,RelfChl,RelfPC,NO2_NO3,fExEm,Precip
"CALOOSAHATCHEE RIVER AT S-79, NR.OLGA, FLA",S-79,"""02292900""",26.72173357,-81.6931806,"""00065""","""00060""","""72137""","""999""","""00095""","""00480""","""00010""","""63680""","""00400""","""00300""","""32295""","""32315""","""32321""","""99133""","""999""","""999"""
ST LUCIE CANAL ABV S-80 NR STUART FL,S-80,"""02276998""",27.10866667,-80.28725,"""00065""","""00060""","""72137""","""999""","""00095""","""00480""","""00010""","""63680""","""00400""","""00300""","""32295""","""32315""","""32321""","""999""","""32360""","""999"""
"BOTTLE CREEK AT ROOKERY BRANCH NEAR HOMESTEAD, FL",BotCr,"""022908295""",25.46797778,-80.8545278,"""00065""","""00060""","""72137""","""999""","""00095""","""00480""","""00010""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999"""
"NORTH RIVER UPSTREAM OF CUTOFF NEAR FLAMINGO, FL",Flam,"""022908205""",25.3386722,-80.9132167,"""00065""","""00060""","""72137""","""63160""","""00095""","""00480""","""00010""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999"""
"NORTHEAST SHARK RV SLOUGH NO. 4 NR COOPERTOWN, FL",SR_4,"""253828080391100""",25.6401611,-80.6527667,"""00065""","""999""","""999""","""63160""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999"""
"NORTHEAST SHARK RV SLOUGH NO. 1 NR COOPERTOWN, FL",SR_1,"""254130080380500""",25.69165,-80.6349167,"""00065""","""999""","""999""","""63160""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999"""
"MIAMI CANAL AT S-354 AND S-3 AT LAKE HARBOR, FLA",S-354,"""02286400""",26.69534407,-80.8067278,"""00065""","""00060""","""72137""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999"""
N NEW RIVER CANAL BELOW S351 NR SOUTH BAY FLA,S-351,"""02283500""",26.6976,-80.7128167,"""00065""","""00060""","""72137""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999"""
"LEVEE 8 CANAL NEAR CANAL POINT, FL",LV8,"""265501080364900""",26.91719444,-80.6129444,"""00065""","""00060""","""72137""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999"""
"TAMIAMI CANAL AT S-12-D NEAR MIAMI, FL",S-12,"""254543080405401""",25.7620472,-80.6820444,"""00065""","""00060""","""72137""","""63160""","""00095""","""999""","""00010""","""63680""","""999""","""999""","""32295""","""999""","""999""","""999""","""999""","""999"""
"TAYLOR SLOUGH WETLAND AT E146 NR HOMESTEAD, FL",E-146,"""251457080395800""",25.25254167,-80.6828667,"""00065""","""999""","""999""","""999""","""00095""","""00480""","""00010""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999"""
